iter	RMSE
0	74.9177813
1	74.91209958
2	74.91176461
3	74.90715179
4	74.9056508
5	74.90373043
6	74.90149415
7	74.90103127
8	74.89808801
9	74.89500333
10	74.89116456
11	74.88887446
12	74.88432128
13	74.87493169
14	74.86904822
15	74.86623969
16	74.86183971
17	74.85387793
18	74.84786202
19	74.84289489
20	74.83633396
21	74.83210303
22	74.82809435
23	74.82132347
24	74.81774173
25	74.81505542
26	74.81020736
27	74.80408402
28	74.79965226
29	74.79729916
30	74.79649209
31	74.79616672
32	74.79182409
33	74.79083089
34	74.7874999
35	74.78742941
36	74.78517789
37	74.78216122
38	74.78012985
39	74.77870493
40	74.77434209
41	74.76797719
42	74.76634501
43	74.76106388
44	74.75770311
45	74.75300748
46	74.74958282
47	74.74573134
48	74.74428391
49	74.74005976
50	74.73912259
51	74.73643407
52	74.73625344
53	74.73398755
54	74.73239828
55	74.72858451
56	74.72535351
57	74.72206129
58	74.71702331
59	74.71400276
60	74.71110447
61	74.70842922
62	74.70724632
63	74.7037677
64	74.70144324
65	74.69900962
66	74.69834733
67	74.6935397
68	74.69336581
69	74.6907901
70	74.68612503
71	74.68411283
72	74.68304412
73	74.67975797
74	74.67916907
75	74.67651355
76	74.67287576
77	74.67058723
78	74.66637047
79	74.66378095
80	74.65704955
81	74.65505258
82	74.65120659
83	74.64610177
84	74.64265338
85	74.63855718
86	74.63585189
87	74.62973695
88	74.62088327
89	74.61915112
90	74.61606394
91	74.61244726
92	74.6076237
93	74.60634079
94	74.60475969
95	74.60431478
96	74.60189402
97	74.59893698
98	74.59589466
99	74.59497249
100	74.58864039
101	74.58453347
102	74.58428062
103	74.58028381
104	74.57624514
105	74.57535601
106	74.57330849
107	74.56712887
108	74.56176363
109	74.55771827
110	74.55692151
111	74.55475924
112	74.55398836
113	74.55167122
114	74.55025608
115	74.54686818
116	74.54597774
117	74.54262458
118	74.53051525
119	74.52704999
120	74.52599672
121	74.52520553
122	74.52390098
123	74.51894389
124	74.51777848
125	74.51242488
126	74.50820657
127	74.50764286
128	74.50637978
129	74.49912435
130	74.49500431
131	74.49030465
132	74.48804616
133	74.48728928
134	74.48455855
135	74.47627355
136	74.46935079
137	74.46825468
138	74.46687531
139	74.46418192
140	74.45779649
141	74.45663051
142	74.45380758
143	74.45209606
144	74.45154327
145	74.44791793
146	74.44709128
147	74.44288342
148	74.44019726
149	74.43725583
150	74.43440168
151	74.43142662
152	74.43007836
153	74.42633989
154	74.42324135
155	74.42123116
156	74.42015581
157	74.41762417
158	74.41479066
159	74.41292935
160	74.41089037
161	74.40916087
162	74.40465462
163	74.40173874
164	74.40059324
165	74.39860256
166	74.39750771
167	74.39651759
168	74.39328352
169	74.38931323
170	74.38851351
171	74.37818118
172	74.3734665
173	74.37321578
174	74.37114284
175	74.36963987
176	74.36588124
177	74.36549315
178	74.36291001
179	74.36036255
180	74.35528122
181	74.35336092
182	74.34637122
183	74.34461281
184	74.34375759
