iter	Passed	Remaining
221	925	3244
222	928	3236
223	931	3227
224	934	3219
225	939	3216
226	942	3208
227	946	3203
228	949	3195
229	952	3187
230	956	3183
231	959	3175
232	962	3169
233	966	3163
234	970	3158
235	973	3151
236	976	3143
237	979	3135
238	982	3127
239	986	3122
240	989	3117
241	993	3111
242	996	3103
243	999	3096
244	1003	3093
245	1007	3086
246	1010	3079
247	1013	3072
248	1016	3065
249	1020	3062
250	1023	3054
251	1026	3047
252	1029	3039
253	1032	3032
254	1036	3029
255	1039	3021
256	1042	3014
257	1045	3006
258	1048	2999
259	1052	2995
260	1055	2988
261	1058	2981
262	1061	2974
263	1064	2967
264	1068	2964
265	1072	2958
266	1074	2950
267	1077	2944
268	1080	2936
269	1085	2933
270	1088	2929
271	1092	2923
272	1095	2916
273	1099	2913
274	1102	2905
275	1104	2898
276	1107	2891
277	1110	2884
278	1114	2880
279	1117	2874
280	1120	2867
281	1123	2861
282	1126	2855
283	1130	2851
284	1134	2844
285	1137	2838
286	1139	2832
287	1142	2825
288	1147	2822
289	1150	2815
290	1153	2809
291	1156	2803
292	1159	2797
293	1163	2793
294	1166	2787
295	1169	2781
296	1172	2776
297	1175	2770
298	1180	2766
299	1183	2761
300	1186	2756
301	1189	2750
302	1193	2744
303	1197	2740
304	1200	2734
305	1203	2728
306	1205	2721
307	1208	2715
308	1213	2712
309	1216	2706
310	1219	2700
311	1222	2694
312	1225	2689
313	1228	2683
314	1231	2677
315	1234	2672
316	1237	2666
317	1240	2660
318	1243	2655
319	1247	2650
320	1250	2645
321	1253	2639
322	1258	2637
323	1261	2631
324	1264	2625
325	1267	2619
326	1270	2613
327	1274	2611
328	1277	2605
329	1280	2600
330	1283	2594
331	1286	2588
332	1290	2585
333	1294	2581
334	1297	2575
335	1300	2570
336	1303	2564
337	1309	2564
338	1312	2559
339	1315	2554
340	1318	2548
341	1322	2545
342	1325	2539
343	1328	2533
344	1331	2528
345	1334	2522
346	1338	2519
347	1341	2513
348	1344	2508
349	1347	2502
350	1350	2497
351	1354	2493
352	1357	2488
353	1360	2482
354	1363	2477
355	1366	2471
356	1370	2468
357	1373	2462
358	1376	2457
359	1379	2451
360	1382	2446
361	1386	2444
362	1389	2438
363	1392	2433
364	1395	2428
365	1399	2423
366	1405	2423
367	1409	2420
368	1412	2416
369	1418	2414
370	1421	2410
371	1425	2406
372	1429	2402
373	1434	2400
374	1438	2397
375	1441	2392
376	1445	2388
377	1450	2387
378	1454	2382
379	1457	2377
380	1460	2373
381	1465	2371
382	1468	2366
383	1473	2363
384	1476	2358
385	1479	2352
386	1483	2349
387	1486	2344
388	1489	2338
389	1492	2334
390	1495	2329
391	1499	2326
392	1503	2322
393	1507	2318
394	1510	2313
395	1514	2310
396	1523	2314
397	1527	2309
398	1531	2306
399	1534	2301
400	1537	2296
401	1541	2293
402	1546	2290
403	1549	2286
404	1552	2281
405	1557	2278
406	1564	2280
407	1568	2276
408	1572	2272
409	1575	2267
410	1581	2266
411	1585	2262
412	1589	2258
413	1595	2257
414	1606	2263
415	1612	2263
416	1617	2260
417	1620	2256
418	1625	2253
419	1629	2250
420	1633	2246
421	1636	2241
422	1640	2237
423	1645	2234
424	1649	2231
425	1653	2227
426	1659	2226
427	1663	2223
428	1670	2223
